,CHR,Start,Stop
chr7:150139870-150140173,chr7,150139870,150140173
chr7:52196709-52196710,chr7,52196709,52196710
chr7:6691949-6695437,chr7,6691949,6695437
chr7:64535486-64535505,chr7,64535486,64535505
chr7:40939069-40939070,chr7,40939069,40939070
chr7:56352934-56352935,chr7,56352934,56352935
chr8:6118526-6118576,chr8,6118526,6118576
chr8:108178448-108178489,chr8,108178448,108178489
chr8:78533097-78533098,chr8,78533097,78533098
chr8:98569431-98569432,chr8,98569431,98569432
chr8:106399822-106399823,chr8,106399822,106399823
chr8:63662874-63662875,chr8,63662874,63662875
chr8:129839439-129839440,chr8,129839439,129839440
chr8:17352834-17352835,chr8,17352834,17352835
chr8:121566699-121566700,chr8,121566699,121566700
chr9:107091808-107091809,chr9,107091808,107091809
chr9:102761263-102761264,chr9,102761263,102761264
chr9:36256929-36256930,chr9,36256929,36256930
chr9:22863277-22863278,chr9,22863277,22863278
chr9:116663469-116663470,chr9,116663469,116663470
chr9:2123764-2123765,chr9,2123764,2123765
chr9:127361263-127361264,chr9,127361263,127361264
chr9:96573503-96573504,chr9,96573503,96573504
chr9:102580782-102580783,chr9,102580782,102580783
chr9:32548604-32548605,chr9,32548604,32548605
chr9:128162200-128162275,chr9,128162200,128162275
chr9:81220079-81220080,chr9,81220079,81220080
chr9:130151001-130151002,chr9,130151001,130151002
chr9:100864335-100864336,chr9,100864335,100864336
chr9:137160473-137160474,chr9,137160473,137160474
chr10:8051100-8051330,chr10,8051100,8051330
chr10:55587200-55587269,chr10,55587200,55587269
chr10:31446813-31446814,chr10,31446813,31446814
chr10:98617461-98617462,chr10,98617461,98617462
chr10:102030154-102030155,chr10,102030154,102030155
chr10:52174504-52174505,chr10,52174504,52174505
chr10:112295835-112296002,chr10,112295835,112296002
chr10:126889815-126889816,chr10,126889815,126889816
chr10:28657270-28657330,chr10,28657270,28657330
chr10:126069759-126069776,chr10,126069759,126069776
chr10:14701815-14701816,chr10,14701815,14701816
chr10:12490844-12490845,chr10,12490844,12490845
chr11:50129456-50129457,chr11,50129456,50129457
chr11:47611236-47612549,chr11,47611236,47612549
chr11:35685833-35685834,chr11,35685833,35685834
chr11:61889921-61890698,chr11,61889921,61890698
chr11:95987382-95987383,chr11,95987382,95987383
chr11:65184909-65185685,chr11,65184909,65185685
chr11:17251956-17251957,chr11,17251956,17251957
chr11:7369177-7369178,chr11,7369177,7369178
chr11:61638900-61638901,chr11,61638900,61638901
chr11:122727440-122727441,chr11,122727440,122727441
chr11:65661516-65661517,chr11,65661516,65661517
chr11:128595713-128595714,chr11,128595713,128595714
chr12:114162813-114162814,chr12,114162813,114162814
chr12:27936825-27936826,chr12,27936825,27936826
chr12:127101141-127101142,chr12,127101141,127101142
chr12:78227745-78227746,chr12,78227745,78227746
chr12:11800414-11800415,chr12,11800414,11800415
chr12:105747184-105747185,chr12,105747184,105747185
chr12:108975597-108975598,chr12,108975597,108975598
chr12:52221959-52221960,chr12,52221959,52221960
chr12:125831167-125831168,chr12,125831167,125831168
chr12:123713553-123713554,chr12,123713553,123713554
chr12:112568357-112568358,chr12,112568357,112568358
chr12:46609063-46609064,chr12,46609063,46609064
chr13:72420299-72420300,chr13,72420299,72420300
chr13:106886462-106886463,chr13,106886462,106886463
chr13:110174231-110174308,chr13,110174231,110174308
chr13:72408747-72408751,chr13,72408747,72408751
chr13:20458792-20458821,chr13,20458792,20458821
chr13:65724231-65724232,chr13,65724231,65724232
chr13:23952424-23952577,chr13,23952424,23952577
chr13:41187806-41187927,chr13,41187806,41187927
chr13:51086835-51086836,chr13,51086835,51086836
chr14:54859664-54859665,chr14,54859664,54859665
chr14:50828728-50828729,chr14,50828728,50828729
chr14:92963020-92963021,chr14,92963020,92963021
chr14:105434159-105434299,chr14,105434159,105434299
chr14:94425764-94425765,chr14,94425764,94425765
chr14:93365369-93365370,chr14,93365369,93365370
chr14:100288389-100288390,chr14,100288389,100288390
chr14:91696151-91696241,chr14,91696151,91696241
chr14:52867870-52867871,chr14,52867870,52867871
chr15:26154648-26154649,chr15,26154648,26154649
chr15:28216043-28216044,chr15,28216043,28216044
chr15:50718844-50718993,chr15,50718844,50718993
chr15:101861037-101861038,chr15,101861037,101861038
chr15:31658323-31658324,chr15,31658323,31658324
chr15:86250370-86250371,chr15,86250370,86250371
chr15:64303084-64303085,chr15,64303084,64303085
chr16:10449523-10449524,chr16,10449523,10449524
chr16:27052228-27052338,chr16,27052228,27052338
chr16:86903449-86903492,chr16,86903449,86903492
chr16:27063429-27063430,chr16,27063429,27063430
chr16:4250318-4250319,chr16,4250318,4250319
chr17:15083645-15083646,chr17,15083645,15083646
chr17:21901968-21901969,chr17,21901968,21901969
chr17:20346491-20346492,chr17,20346491,20346492
chr17:7909776-7910041,chr17,7909776,7910041
chr17:36061601-36061602,chr17,36061601,36061602
chr17:74248466-74248467,chr17,74248466,74248467
chr18:74770402-74770816,chr18,74770402,74770816
chr19:3507867-3507868,chr19,3507867,3507868
chr19:50309143-50309144,chr19,50309143,50309144
chr19:15568360-15568936,chr19,15568360,15568936
chr19:13910592-13910593,chr19,13910592,13910593
chr19:57654968-57654969,chr19,57654968,57654969
chr19:49012411-49012412,chr19,49012411,49012412
chr19:38796094-38796095,chr19,38796094,38796095
chr19:17451141-17451142,chr19,17451141,17451142
chr19:2085286-2085484,chr19,2085286,2085484
chr21:37670549-37670550,chr21,37670549,37670550
chr21:45336673-45336904,chr21,45336673,45336904
chr22:23801478-23801479,chr22,23801478,23801479
chr22:18638538-18638539,chr22,18638538,18638539
chr22:38001083-38001084,chr22,38001083,38001084
chr22:40420987-40420988,chr22,40420987,40420988
chr22:37813098-37813099,chr22,37813098,37813099
chrX:49040277-49040278,chrX,49040277,49040278
chrX:9960096-9960579,chrX,9960096,9960579
chrX:84581306-84581307,chrX,84581306,84581307
chrX:70887940-70887941,chrX,70887940,70887941
chrX:34405983-34406214,chrX,34405983,34406214
chrX:49085918-49085919,chrX,49085918,49085919
chrX:109936239-109936240,chrX,109936239,109936240
chrX:12974205-12975051,chrX,12974205,12975051
chrY:21208621-21208622,chrY,21208621,21208622
